source	target	relation
drugbank:DB00591	HGNC:12695	-1
drugbank:DB06403	HGNC:5972	-1
drugbank:DB00947	HGNC:1388	-1
drugbank:DB00564	HGNC:7673	-1
drugbank:DB01033	HGNC:250	-1
drugbank:DB11760	HGNC:8153	-1
drugbank:DB00630	HGNC:8790	-1
drugbank:DB09195	HGNC:28906	-1
drugbank:DB00777	HGNC:6875	-1
drugbank:DB09128	HGNC:18070	-1
drugbank:DB00261	HGNC:1727	1
drugbank:DB01586	HGNC:8346	-1
drugbank:DB12010	HGNC:808	1
drugbank:DB01452	HGNC:1405	1
drugbank:DB06594	HGNC:1604	-1
drugbank:DB00734	HGNC:19990	-1
drugbank:DB00281	HGNC:10447	-1
drugbank:DB01142	HGNC:7716	-1
drugbank:DB09089	HGNC:6018	-1
drugbank:DB01144	HGNC:7883	-1
drugbank:DB13269	HGNC:6848	-1
drugbank:DB00839	HGNC:3691	-1
drugbank:DB09241	HGNC:8190	1
drugbank:DB00241	HGNC:7884	1
drugbank:DB00921	HGNC:7450	1
drugbank:DB00842	HGNC:15103	1
drugbank:DB00292	HGNC:9059	-1
drugbank:DB08814	HGNC:7882	1
drugbank:DB00714	UMLS:C0149925	-1
drugbank:DB12010	HGNC:188	-1
drugbank:DB00441	HGNC:4410	-1
drugbank:DB01023	HGNC:11440	-1
drugbank:DB08895	HGNC:281	1
drugbank:DB00475	HGNC:392	-1
drugbank:DB00363	HGNC:11827	-1
drugbank:DB01092	HGNC:15134	-1
drugbank:DB04843	HGNC:12586	-1
drugbank:DB00252	HGNC:11366	-1
drugbank:DB01238	HGNC:10447	-1
drugbank:DB01175	HGNC:12733	-1
drugbank:DB01113	HGNC:4396	-1
drugbank:DB01049	HGNC:4388	-1
drugbank:DB00289	HGNC:3655	-1
drugbank:DB01148	HGNC:10315	1
drugbank:DB06412	HGNC:12872	1
drugbank:DB01018	HGNC:1925	-1
drugbank:DB05541	HGNC:6872	1
drugbank:DB13746	HGNC:8875	1
drugbank:DB00486	HGNC:26976	-1
drugbank:DB09481	HGNC:15983	-1
drugbank:DB00940	HGNC:11774	-1
drugbank:DB00909	HGNC:9401	-1
drugbank:DB12010	HGNC:12450	1
drugbank:DB00248	HGNC:15261	1
drugbank:DB01234	HGNC:6407	-1
drugbank:DB08896	HGNC:19986	-1
drugbank:DB01381	HGNC:1407	-1
drugbank:DB09119	HGNC:1720	1
drugbank:DB00349	HGNC:7781	-1
drugbank:DB01359	HGNC:3663	1
drugbank:DB00350	HGNC:7998	1
drugbank:DB00351	HGNC:173	1
drugbank:DB11300	HGNC:29151	-1
drugbank:DB01427	HGNC:9068	-1
drugbank:DB01296	HGNC:6137	-1
drugbank:DB00387	HGNC:6407	-1
drugbank:DB00340	HGNC:18709	1
drugbank:DB00697	HGNC:15214	-1
drugbank:DB13961	HGNC:5465	-1
drugbank:DB01151	UMLS:C1970309	-1
drugbank:DB00246	HGNC:8876	1
drugbank:DB12808	HGNC:9237	-1
drugbank:DB00619	HGNC:23505	-1
drugbank:DB09167	HGNC:4382	-1
drugbank:DB01403	HGNC:6307	1
drugbank:DB13998	HGNC:7328	-1
drugbank:DB01024	HGNC:12485	-1
drugbank:DB06787	HGNC:6759	-1
drugbank:DB11718	HGNC:14816	-1
drugbank:DB00477	HGNC:30376	1
drugbank:DB01189	HGNC:8994	1
drugbank:DB11278	HGNC:30029	-1
drugbank:DB00398	HGNC:8776	1
drugbank:DB09568	HGNC:6697	-1
drugbank:DB01611	HGNC:14035	1
drugbank:DB00020	HGNC:3236	-1
drugbank:DB00514	HGNC:9829	1
drugbank:DB00255	HGNC:8977	1
drugbank:DB00240	HGNC:10770	1
drugbank:DB07776	HGNC:6009	-1
drugbank:DB00843	HGNC:11367	1
drugbank:DB01215	HGNC:3430	1
drugbank:DB01200	HGNC:3797	-1
drugbank:DB12010	HGNC:4938	-1
drugbank:DB00782	HGNC:175	1
drugbank:DB11124	HGNC:3676	-1
drugbank:DB00458	HGNC:1952	1
drugbank:DB01589	HGNC:8776	1
drugbank:DB06262	HGNC:236	1
drugbank:DB01235	HGNC:238	1
drugbank:DB13800	HGNC:4273	-1
drugbank:DB00543	HGNC:3581	-1
drugbank:DB01221	HGNC:8022	-1
drugbank:DB00721	HGNC:15375	1
drugbank:DB00674	HGNC:15916	-1
drugbank:DB00562	HGNC:5246	-1
drugbank:DB00433	HGNC:14131	-1
drugbank:DB00599	HGNC:20693	-1
drugbank:DB01054	HGNC:3546	-1
drugbank:DB01303	HGNC:10681	-1
drugbank:DB06216	HGNC:5439	-1
drugbank:DB00472	HGNC:3467	-1
drugbank:DB01400	HGNC:29260	-1
drugbank:DB12010	HGNC:1318	-1
drugbank:DB00215	HGNC:13299	-1
drugbank:DB12141	HGNC:5295	-1
drugbank:DB06785	HGNC:4396	-1
drugbank:DB00201	HGNC:4452	-1
drugbank:DB06616	HGNC:11195	1
drugbank:DB00086	HGNC:285	1
drugbank:DB00897	HGNC:2355	-1
drugbank:DB13345	HGNC:11913	-1
drugbank:DB00559	HGNC:238	1
drugbank:DB01406	HGNC:78	-1
drugbank:DB13867	UMLS:C1847572	1
drugbank:DB00867	HGNC:4396	-1
drugbank:DB06205	HGNC:1482	-1
drugbank:DB11590	HGNC:11768	-1
drugbank:DB00691	HGNC:2345	1
drugbank:DB00627	HGNC:18971	-1
drugbank:DB00482	HGNC:404	-1
drugbank:DB01016	HGNC:277	1
drugbank:DB10770	HGNC:9056	-1
drugbank:DB00518	HGNC:6876	-1
drugbank:DB00712	HGNC:9207	-1
drugbank:DB09079	HGNC:6347	-1
drugbank:DB11633	HGNC:10429	-1
drugbank:DB12010	HGNC:23692	-1
drugbank:DB01353	HGNC:6973	1
drugbank:DB00669	HGNC:9611	-1
drugbank:DB00217	HGNC:457	-1
drugbank:DB00945	HGNC:3176	1
drugbank:DB00753	HGNC:16712	1
drugbank:DB01028	HGNC:8803	1
drugbank:DB00852	HGNC:14131	-1
drugbank:DB09073	HGNC:2436	1
drugbank:DB00917	HGNC:1402	1
drugbank:DB00708	HGNC:21150	-1
drugbank:DB04896	HGNC:4396	-1
drugbank:DB09076	HGNC:11850	-1
drugbank:DB00193	HGNC:4396	1
drugbank:DB06152	HGNC:15200	-1
drugbank:DB00809	UMLS:C0017638	-1
drugbank:DB11496	HGNC:7873	1
drugbank:DB00794	HGNC:1833	1
drugbank:DB10772	HGNC:9067	-1
drugbank:DB00358	HGNC:5465	1
drugbank:DB00764	HGNC:24650	-1
drugbank:DB12010	HGNC:7325	1
drugbank:DB01588	HGNC:3767	-1
drugbank:DB00831	HGNC:6075	-1
drugbank:DB01142	HGNC:12805	-1
drugbank:DB01176	HGNC:1582	-1
drugbank:DB00934	HGNC:9802	-1
drugbank:DB13269	HGNC:11362	-1
drugbank:DB00887	HGNC:10791	1
drugbank:DB00241	UMLS:C1851943	1
drugbank:DB00953	HGNC:19764	-1
drugbank:DB08875	HGNC:17635	1
drugbank:DB00714	HGNC:12659	-1
drugbank:DB12010	HGNC:4317	-1
drugbank:DB00491	HGNC:23207	-1
drugbank:DB00363	HGNC:8190	-1
drugbank:DB01124	HGNC:11479	1
drugbank:DB00898	HGNC:9401	-1
drugbank:DB01238	HGNC:5964	1
drugbank:DB11113	HGNC:6192	-1
drugbank:DB08901	HGNC:4066	-1
drugbank:DB01065	HGNC:784	-1
drugbank:DB01049	HGNC:17451	-1
drugbank:DB00273	HGNC:5981	-1
drugbank:DB01100	HGNC:16638	-1
drugbank:DB00922	HGNC:9065	1
drugbank:DB13746	UMLS:C4225163	-1
drugbank:DB00924	HGNC:5439	1
drugbank:DB00099	HGNC:25726	-1
drugbank:DB00909	HGNC:11640	-1
drugbank:DB12010	HGNC:13165	-1
drugbank:DB00555	HGNC:4382	1
drugbank:DB00216	HGNC:6008	-1
drugbank:DB00605	HGNC:1833	-1
drugbank:DB08896	HGNC:7739	-1
drugbank:DB00492	HGNC:12971	-1
drugbank:DB01338	HGNC:4410	-1
drugbank:DB00268	UMLS:C4479481	1
drugbank:DB01238	HGNC:18505	-1
drugbank:DB00334	HGNC:6393	-1
drugbank:DB06148	HGNC:865	-1
drugbank:DB12698	HGNC:9875	-1
drugbank:DB01325	HGNC:7978	1
drugbank:DB01367	HGNC:23747	-1
drugbank:DB06712	HGNC:9232	-1
drugbank:DB00243	HGNC:3430	-1
drugbank:DB01133	HGNC:11006	-1
drugbank:DB00568	HGNC:936	1
drugbank:DB00182	UMLS:C3542025	-1
drugbank:DB11273	UMLS:C2751584	-1
drugbank:DB00280	HGNC:11776	-1
drugbank:DB01336	HGNC:25950	1
drugbank:DB00800	HGNC:4038	-1
drugbank:DB09085	HGNC:3023	1
drugbank:DB00654	HGNC:1958	1
drugbank:DB00413	HGNC:1077	-1
drugbank:DB09236	UMLS:C0023976	1
drugbank:DB00349	HGNC:7775	1
drugbank:DB01407	HGNC:13633	-1
drugbank:DB09205	HGNC:2520	-1
drugbank:DB01577	HGNC:8994	-1
drugbank:DB00383	HGNC:8471	-1
drugbank:DB11757	HGNC:10329	1
drugbank:DB01613	HGNC:18070	1
drugbank:DB01365	HGNC:8247	1
drugbank:DB00306	HGNC:280	-1
drugbank:DB00421	HGNC:236	1
drugbank:DB01278	HGNC:1953	-1
drugbank:DB00795	HGNC:2154	-1
drugbank:DB13961	HGNC:6407	-1
drugbank:DB00246	HGNC:1951	-1
drugbank:DB01136	HGNC:19898	-1
drugbank:DB04855	HGNC:6771	-1
drugbank:DB11978	HGNC:1579	1
drugbank:DB13781	HGNC:15041	-1
drugbank:DB00651	HGNC:11163	1
drugbank:DB04840	HGNC:3582	-1
drugbank:DB09167	HGNC:7989	-1
drugbank:DB00312	HGNC:1441	1
drugbank:DB11571	HGNC:195	-1
drugbank:DB01174	UMLS:C2750448	-1
drugbank:DB01159	HGNC:6893	-1
drugbank:DB01224	HGNC:3009	-1
drugbank:DB08901	UMLS:C0041409	1
drugbank:DB00998	HGNC:15488	-1
drugbank:DB01032	HGNC:9691	-1
drugbank:DB12267	HGNC:3229	-1
drugbank:DB00273	HGNC:7940	-1
drugbank:DB06153	HGNC:3416	-1
drugbank:DB00026	HGNC:14131	-1
drugbank:DB00390	UMLS:C3469527	-1
drugbank:DB00812	HGNC:847	1
drugbank:DB00046	HGNC:4410	-1
drugbank:DB00861	HGNC:3115	-1
drugbank:DB12010	HGNC:7631	-1
drugbank:DB00555	HGNC:7227	1
drugbank:DB02638	HGNC:18854	1
drugbank:DB00184	HGNC:817	1
drugbank:DB01170	HGNC:4396	1
drugbank:DB11275	UMLS:C0023487	-1
drugbank:DB00589	HGNC:16267	1
drugbank:DB00396	HGNC:278	1
drugbank:DB01236	HGNC:9312	1
drugbank:DB11572	HGNC:1748	-1
drugbank:DB00203	HGNC:16743	-1
drugbank:DB00284	HGNC:13812	-1
drugbank:DB00334	HGNC:6768	-1
drugbank:DB06148	HGNC:8507	-1
drugbank:DB00190	HGNC:1407	-1
drugbank:DB01194	HGNC:4267	-1
drugbank:DB00321	HGNC:6376	-1
drugbank:DB00178	HGNC:11186	-1
drugbank:DB01395	HGNC:6847	1
drugbank:DB06779	HGNC:3023	-1
drugbank:DB00243	HGNC:2747	-1
drugbank:DB00568	HGNC:2865	-1
drugbank:DB01037	HGNC:3416	-1
drugbank:DB04209	HGNC:23707	1
drugbank:DB00182	HGNC:3796	-1
drugbank:DB00989	HGNC:6148	-1
drugbank:DB11273	HGNC:1389	-1
drugbank:DB12010	UMLS:C1836632	-1
drugbank:DB00603	HGNC:3431	-1
drugbank:DB00280	HGNC:240	1
drugbank:DB13158	HGNC:12784	-1
drugbank:DB00800	HGNC:8816	-1
drugbank:DB00703	HGNC:7873	1
drugbank:DB01558	HGNC:393	1
drugbank:DB01189	HGNC:2964	-1
drugbank:DB00398	UMLS:C0020538	-1
drugbank:DB09302	HGNC:12363	1
drugbank:DB06774	HGNC:9446	1
drugbank:DB00514	HGNC:8725	-1
drugbank:DB06603	HGNC:28696	-1
drugbank:DB13166	HGNC:3438	-1
drugbank:DB00191	HGNC:8979	-1
drugbank:DB00159	HGNC:4410	1
drugbank:DB09061	HGNC:17351	-1
drugbank:DB02546	HGNC:1509	-1
drugbank:DB00421	HGNC:6012	-1
drugbank:DB00843	HGNC:2436	1
drugbank:DB01215	HGNC:4936	-1
drugbank:DB00408	HGNC:3386	1
drugbank:DB01200	HGNC:6134	-1
drugbank:DB12010	HGNC:3023	1
drugbank:DB00733	HGNC:3416	-1
drugbank:DB09559	HGNC:4410	-1
drugbank:DB00458	HGNC:14131	-1
drugbank:DB06201	UMLS:C1266119	-1
drugbank:DB01203	UMLS:C0544862	-1
drugbank:DB00543	HGNC:4396	-1
drugbank:DB12278	HGNC:9871	-1
drugbank:DB05271	HGNC:3168	-1
drugbank:DB00594	HGNC:28915	1
drugbank:DB00481	HGNC:11909	-1
drugbank:DB00418	HGNC:6136	-1
drugbank:DB00824	HGNC:23401	-1
drugbank:DB00420	HGNC:3240	-1
drugbank:DB08813	UMLS:C0796173	1
drugbank:DB01102	HGNC:465	-1
drugbank:DB01351	HGNC:3666	-1
drugbank:DB01621	HGNC:590	-1
drugbank:DB06700	HGNC:10317	-1
drugbank:DB12010	HGNC:15248	1
drugbank:DB00231	HGNC:24035	1
drugbank:DB01437	HGNC:9876	-1
drugbank:DB13345	HGNC:239	-1
drugbank:DB00704	HGNC:4410	-1
drugbank:DB13146	HGNC:6008	1
drugbank:DB00836	HGNC:6107	-1
drugbank:DB00869	HGNC:6877	-1
drugbank:DB00659	HGNC:9381	-1
drugbank:DB04896	HGNC:4084	-1
drugbank:DB11691	HGNC:1608	-1
drugbank:DB00193	HGNC:1610	1
drugbank:DB13151	HGNC:4041	-1
drugbank:DB09342	HGNC:1602	1
drugbank:DB00180	HGNC:4388	-1
drugbank:DB00715	HGNC:13507	-1
drugbank:DB12010	HGNC:30907	1
drugbank:DB00327	HGNC:27603	1
drugbank:DB01588	HGNC:1707	1
drugbank:DB00186	HGNC:6843	1
drugbank:DB09118	HGNC:12632	-1
drugbank:DB01158	HGNC:11805	-1
drugbank:DB01095	HGNC:8979	-1
drugbank:DB09238	HGNC:1949	-1
drugbank:DB06209	HGNC:10436	1
drugbank:DB00935	HGNC:4684	1
drugbank:DB00257	HGNC:13760	-1
drugbank:DB01017	HGNC:1764	1
drugbank:DB00308	HGNC:1593	1
drugbank:DB00731	HGNC:667	-1
drugbank:DB12010	HGNC:9286	1
drugbank:DB00523	HGNC:7590	-1
drugbank:DB00541	HGNC:6018	-1
drugbank:DB01236	HGNC:9033	-1
drugbank:DB00334	HGNC:1951	-1
drugbank:DB01426	HGNC:173	-1
drugbank:DB01241	HGNC:4410	-1
drugbank:DB01114	HGNC:6126	-1
drugbank:DB00321	HGNC:19910	-1
drugbank:DB01069	HGNC:17271	-1
drugbank:DB13746	HGNC:4087	-1
drugbank:DB12010	HGNC:1785	-1
drugbank:DB00555	HGNC:9611	-1
drugbank:DB01267	HGNC:18143	-1
drugbank:DB09069	HGNC:3236	-1
drugbank:DB00622	HGNC:6342	1
drugbank:DB01558	HGNC:19699	-1
drugbank:DB00477	HGNC:3691	-1
drugbank:DB00381	HGNC:9604	-1
drugbank:DB15035	HGNC:11159	-1
drugbank:DB00464	HGNC:30216	1
drugbank:DB01393	HGNC:5293	-1
drugbank:DB00499	HGNC:5978	1
drugbank:DB00306	HGNC:23705	-1
drugbank:DB00421	HGNC:6192	-1
drugbank:DB00795	HGNC:11808	1
drugbank:DB13961	HGNC:7553	-1
drugbank:DB01183	HGNC:811	-1
drugbank:DB05219	HGNC:7659	-1
drugbank:DB11994	HGNC:5977	1
drugbank:DB00668	HGNC:10420	-1
drugbank:DB04946	HGNC:10328	1
drugbank:DB00328	HGNC:4396	-1
drugbank:DB00527	HGNC:31682	1
drugbank:DB01205	HGNC:4383	-1
drugbank:DB11901	HGNC:12785	-1
drugbank:DB00624	HGNC:15809	1
drugbank:DB11093	HGNC:5975	1
drugbank:DB06775	HGNC:4410	1
drugbank:DB00402	HGNC:12716	1
drugbank:DB00388	HGNC:14758	-1
drugbank:DB00939	HGNC:4388	-1
drugbank:DB06654	HGNC:990	-1
drugbank:DB15328	HGNC:12680	-1
drugbank:DB01281	HGNC:1784	-1
drugbank:DB12010	HGNC:16712	-1
drugbank:DB11619	HGNC:6156	1
drugbank:DB00490	HGNC:7	-1
drugbank:DB06595	HGNC:7794	-1
drugbank:DB06401	HGNC:4044	1
drugbank:DB13144	HGNC:33772	-1
drugbank:DB01221	HGNC:4317	-1
drugbank:DB12278	UMLS:C0006142	1
drugbank:DB00770	HGNC:4410	1
drugbank:DB00690	HGNC:9071	-1
drugbank:DB00642	HGNC:1958	1
drugbank:DB00497	HGNC:6008	-1
drugbank:DB09059	HGNC:238	-1
drugbank:DB00418	HGNC:16435	-1
drugbank:DB00420	HGNC:5293	-1
drugbank:DB08889	HGNC:1582	1
drugbank:DB00696	HGNC:18476	1
drugbank:DB08906	HGNC:816	1
drugbank:DB01373	HGNC:4396	-1
drugbank:DB06681	UMLS:C1849157	-1
drugbank:DB11157	HGNC:12036	1
drugbank:DB00602	HGNC:7700	-1
drugbank:DB12010	HGNC:6872	-1
drugbank:DB01185	HGNC:4588	-1
drugbank:DB06016	HGNC:20376	-1
drugbank:DB12141	HGNC:10336	-1
drugbank:DB00572	HGNC:5465	-1
drugbank:DB00201	HGNC:30347	1
drugbank:DB00929	HGNC:18584	-1
drugbank:DB01011	HGNC:18423	-1
drugbank:DB00805	HGNC:32594	1
drugbank:DB01050	UMLS:C0011860	-1
drugbank:DB00695	HGNC:6773	-1
drugbank:DB00777	HGNC:6026	-1
drugbank:DB00277	HGNC:9294	1
drugbank:DB13928	HGNC:14131	-1
drugbank:DB12010	HGNC:7684	1
drugbank:DB00295	HGNC:4410	1
drugbank:DB01588	HGNC:2891	1
drugbank:DB00734	HGNC:4387	-1
drugbank:DB00313	HGNC:1952	1
drugbank:DB00170	HGNC:4582	-1
drugbank:DB08897	HGNC:1397	1
drugbank:DB00753	HGNC:8154	-1
drugbank:DB01110	HGNC:6877	-1
drugbank:DB00868	HGNC:8803	-1
drugbank:DB09089	HGNC:1956	1
drugbank:DB01064	HGNC:5293	-1
drugbank:DB14597	HGNC:1395	-1
drugbank:DB00806	HGNC:8472	-1
drugbank:DB12532	HGNC:5421	-1
drugbank:DB00774	UMLS:C1868120	-1
drugbank:DB09209	HGNC:1603	-1
drugbank:DB01327	HGNC:3236	-1
drugbank:DB06626	HGNC:7553	1
drugbank:DB00841	HGNC:14131	-1
drugbank:DB05015	HGNC:895	-1
drugbank:DB00810	HGNC:27101	1
drugbank:DB11859	HGNC:4045	-1
drugbank:DB00244	HGNC:10313	-1
drugbank:DB00521	HGNC:6267	-1
drugbank:DB12010	HGNC:1078	-1
drugbank:DB08801	HGNC:232	1
drugbank:DB00459	HGNC:8976	-1
drugbank:DB00347	HGNC:4410	-1
drugbank:DB01174	UMLS:C3279824	-1
drugbank:DB00966	HGNC:278	1
drugbank:DB00983	HGNC:12373	-1
drugbank:DB12267	HGNC:234	-1
drugbank:DB00273	HGNC:8230	1
drugbank:DB01068	HGNC:1632	-1
drugbank:DB06153	HGNC:6858	1
drugbank:DB00009	UMLS:C2677338	1
drugbank:DB00842	HGNC:6877	1
drugbank:DB13746	HGNC:6848	-1
drugbank:DB00357	HGNC:597	1
drugbank:DB09213	HGNC:12780	1
drugbank:DB00029	HGNC:16051	-1
drugbank:DB08877	HGNC:9446	-1
drugbank:DB12010	HGNC:3236	1
drugbank:DB00539	UMLS:C1842073	1
drugbank:DB00184	HGNC:1328	-1
drugbank:DB01138	HGNC:10901	1
drugbank:DB00589	HGNC:17380	1
drugbank:DB11572	HGNC:2300	1
drugbank:DB00253	HGNC:405	-1
drugbank:DB01175	HGNC:11367	-1
drugbank:DB12147	HGNC:393	-1
drugbank:DB01177	HGNC:9283	-1
drugbank:DB00321	UMLS:C0265313	-1
drugbank:DB01069	HGNC:3023	-1
drugbank:DB05541	HGNC:12680	1
drugbank:DB09097	HGNC:1483	-1
drugbank:DB12010	HGNC:3767	-1
drugbank:DB00248	HGNC:2726	-1
drugbank:DB01267	HGNC:12779	-1
drugbank:DB00686	HGNC:10434	-1
drugbank:DB08912	HGNC:8773	-1
drugbank:DB00606	HGNC:8350	-1
drugbank:DB00333	HGNC:14831	-1
drugbank:DB00334	HGNC:15746	-1
drugbank:DB06148	HGNC:27318	-1
drugbank:DB00270	HGNC:1402	-1
drugbank:DB01392	HGNC:27019	-1
drugbank:DB01242	HGNC:11822	1
drugbank:DB06151	HGNC:21723	-1
drugbank:DB00370	HGNC:4026	-1
drugbank:DB00242	HGNC:6886	-1
drugbank:DB00243	HGNC:6881	-1
drugbank:DB00584	HGNC:19575	-1
drugbank:DB01135	HGNC:6871	-1
drugbank:DB00246	HGNC:14085	1
drugbank:DB01088	HGNC:9451	1
drugbank:DB04574	HGNC:4382	-1
drugbank:DB11273	HGNC:20001	-1
drugbank:DB00603	HGNC:9767	1
drugbank:DB09099	HGNC:6765	1
drugbank:DB00312	HGNC:8975	-1
drugbank:DB01403	HGNC:1954	1
drugbank:DB13949	HGNC:26838	-1
drugbank:DB00944	HGNC:8156	1
drugbank:DB04948	HGNC:1886	1
drugbank:DB09332	HGNC:3662	-1
drugbank:DB00768	HGNC:6875	-1
drugbank:DB01608	HGNC:280	-1
drugbank:DB00477	HGNC:1606	-1
drugbank:DB01173	HGNC:8984	1
drugbank:DB06707	UMLS:C0221356	-1
drugbank:DB00496	HGNC:14581	-1
drugbank:DB06603	HGNC:6399	-1
drugbank:DB00175	HGNC:11796	1
drugbank:DB00159	HGNC:14131	-1
drugbank:DB01428	HGNC:5360	-1
drugbank:DB00565	HGNC:8790	1
drugbank:DB09061	HGNC:1602	1
drugbank:DB00843	HGNC:9588	-1
drugbank:DB01199	HGNC:5286	-1
drugbank:DB00392	HGNC:8975	1
drugbank:DB01200	HGNC:9060	-1
drugbank:DB12010	HGNC:11822	-1
drugbank:DB00716	HGNC:12032	-1
drugbank:DB04946	HGNC:3072	-1
drugbank:DB00458	UMLS:C1845902	-1
drugbank:DB01171	HGNC:12645	1
drugbank:DB02266	HGNC:8247	-1
drugbank:DB00252	HGNC:6871	-1
drugbank:DB01238	HGNC:12338	1
drugbank:DB11130	HGNC:19663	1
drugbank:DB01273	HGNC:6698	-1
drugbank:DB01049	HGNC:6342	-1
drugbank:DB06212	HGNC:3767	1
drugbank:DB00938	HGNC:19664	-1
drugbank:DB00454	HGNC:7029	-1
drugbank:DB09327	HGNC:4566	-1
drugbank:DB00924	HGNC:6842	-1
drugbank:DB08815	HGNC:4396	-1
drugbank:DB12010	HGNC:3386	-1
drugbank:DB00555	HGNC:12403	1
drugbank:DB00216	HGNC:1771	-1
drugbank:DB08896	HGNC:3542	-1
drugbank:DB05679	HGNC:15312	1
drugbank:DB00333	HGNC:4410	-1
drugbank:DB08916	HGNC:6871	-1
drugbank:DB06148	HGNC:19692	-1
drugbank:DB00302	HGNC:30396	1
drugbank:DB11300	HGNC:6277	-1
drugbank:DB01259	HGNC:11822	1
drugbank:DB06210	HGNC:6156	-1
drugbank:DB00370	HGNC:4396	1
drugbank:DB00307	HGNC:4410	-1
drugbank:DB01213	HGNC:9251	-1
drugbank:DB01151	HGNC:487	-1
drugbank:DB00246	HGNC:11050	-1
drugbank:DB11273	UMLS:C3151303	-1
drugbank:DB01403	HGNC:4410	1
drugbank:DB00960	HGNC:11365	1
drugbank:DB04948	HGNC:2211	-1
drugbank:DB00785	HGNC:7835	-1
drugbank:DB01625	HGNC:12032	1
drugbank:DB01189	UMLS:C0011884	-1
drugbank:DB04876	HGNC:1963	1
drugbank:DB11605	HGNC:12458	1
drugbank:DB00592	HGNC:12945	-1
drugbank:DB04861	HGNC:14856	-1
drugbank:DB00514	HGNC:3559	1
drugbank:DB00368	HGNC:22935	1
drugbank:DB00337	HGNC:14281	-1
drugbank:DB00726	HGNC:6010	1
drugbank:DB09061	HGNC:9376	1
drugbank:DB00371	HGNC:6407	-1
drugbank:DB00437	HGNC:8477	-1
drugbank:DB00907	UMLS:C0011860	-1
drugbank:DB06589	HGNC:12776	-1
drugbank:DB05239	HGNC:1058	-1
drugbank:DB12010	HGNC:989	1
drugbank:DB00862	HGNC:9401	1
drugbank:DB11274	UMLS:C2748572	-1
drugbank:DB01623	HGNC:6614	-1
drugbank:DB01268	HGNC:12362	-1
drugbank:DB06202	HGNC:7762	-1
drugbank:DB00865	HGNC:3296	1
drugbank:DB01288	HGNC:11755	-1
drugbank:DB00835	HGNC:1099	-1
drugbank:DB00675	HGNC:12632	-1
drugbank:DB00579	HGNC:28906	-1
drugbank:DB00450	HGNC:7705	1
drugbank:DB00952	HGNC:3432	1
drugbank:DB10770	HGNC:6160	-1
drugbank:DB09078	HGNC:8977	1
drugbank:DB00696	HGNC:1050	-1
drugbank:DB09079	HGNC:6914	-1
drugbank:DB11235	HGNC:2674	-1
drugbank:DB00715	HGNC:17609	-1
drugbank:DB01708	UMLS:C4225416	-1
drugbank:DB12010	HGNC:1607	1
drugbank:DB01353	HGNC:16627	1
drugbank:DB00620	HGNC:3238	-1
